,platform,url,measured.on
1,citizinvestor,http://www.citizinvestor.com/project/inclusive-playground-needed,2015-03-18
2,citizinvestor,http://www.citizinvestor.com/project/holiday-park-dog-park,2015-03-18
3,citizinvestor,http://www.citizinvestor.com/project/city-hall-art-gallery,2015-03-18
4,citizinvestor,http://www.citizinvestor.com/project/tyler-animal-care-facility,2015-03-18
5,citizinvestor,http://www.citizinvestor.com/project/venice-post-office-tree-trim-,2015-03-18
6,citizinvestor,http://www.citizinvestor.com/project/sheldon-high-bike-racks,2015-03-18
7,citizinvestor,http://www.citizinvestor.com/project/connecting-blind-children-with-tech,2015-03-18
8,citizinvestor,http://www.citizinvestor.com/project/somerville-mobile-farmers-market,2015-03-18
9,citizinvestor,http://www.citizinvestor.com/project/clean-up-cf-new-bins-in-jenks-park,2015-03-18
10,citizinvestor,http://www.citizinvestor.com/project/NaturallyNash,2015-03-18
11,citizinvestor,http://www.citizinvestor.com/project/rivera-rec-center-community-garden,2015-03-18
12,citizinvestor,http://www.citizinvestor.com/project/growing-plants-and-lives--library,2015-03-18
13,citizinvestor,http://www.citizinvestor.com/project/prizes-for-hillsborough-app-a-thon,2015-03-18
14,citizinvestor,http://www.citizinvestor.com/project/summer-heatwave-,2015-03-18
15,citizinvestor,http://www.citizinvestor.com/project/queens-watch-signs,2015-03-18
16,citizinvestor,http://www.citizinvestor.com/project/noblesville-fireworks-festival,2015-03-18
17,citizinvestor,http://www.citizinvestor.com/project/i-heart-evanston-trees,2015-03-18
18,citizinvestor,http://www.citizinvestor.com/project/spirit-of-the-american-navy,2015-03-18
19,citizinvestor,http://www.citizinvestor.com/project/oxygen-for-omahas-pets,2015-03-18
20,citizinvestor,http://www.citizinvestor.com/project/books-for-babies,2015-03-18
21,citizinvestor,http://www.citizinvestor.com/project/lake-arlington-branch-aquarium,2015-03-18
22,citizinvestor,http://www.citizinvestor.com/project/reservoir-hill-observation-deck,2015-03-18
23,citizinvestor,http://www.citizinvestor.com/project/sheldon-high-school-bike-parking,2015-03-18
24,citizinvestor,http://www.citizinvestor.com/project/sheldon-bike-parking-phase-two,2015-03-18
25,citizinvestor,http://www.citizinvestor.com/project/app-a-day---children-engaged,2015-03-18
26,citizinvestor,http://www.citizinvestor.com/project/3-months-of-bicycle-sundays,2015-03-18
27,citizinvestor,http://www.citizinvestor.com/project/restore-the-endangered-thornmint,2015-03-18
28,voorjebuurt,https://www.voorjebuurt.nl/campaigns/danieldenhoed/,2015-03-18
29,voorjebuurt,https://www.voorjebuurt.nl/campaigns/s4coost2/,2015-03-18
30,voorjebuurt,https://www.voorjebuurt.nl/campaigns/jongeren-wk-voetbal/,2015-03-18
31,voorjebuurt,https://www.voorjebuurt.nl/campaigns/keepersschooleemsmond/,2015-03-18
32,voorjebuurt,https://www.voorjebuurt.nl/campaigns/small-effort/,2015-03-18
33,voorjebuurt,https://www.voorjebuurt.nl/campaigns/lieve-heerlenaar/,2015-03-18
34,voorjebuurt,https://www.voorjebuurt.nl/campaigns/advieswinkel/,2015-03-18
35,voorjebuurt,https://www.voorjebuurt.nl/campaigns/nieuw-ondergoed/,2015-03-18
36,voorjebuurt,https://www.voorjebuurt.nl/campaigns/roeien/,2015-03-18
37,voorjebuurt,https://www.voorjebuurt.nl/campaigns/bontebuiten/,2015-03-18
38,voorjebuurt,https://www.voorjebuurt.nl/campaigns/dansproject/,2015-03-18
39,voorjebuurt,https://www.voorjebuurt.nl/campaigns/tunafestival/,2015-03-18
40,voorjebuurt,https://www.voorjebuurt.nl/campaigns/beestenbende/,2015-03-18
41,voorjebuurt,https://www.voorjebuurt.nl/campaigns/bont/,2015-03-18
42,voorjebuurt,https://www.voorjebuurt.nl/campaigns/rudolfkookt/,2015-03-18
43,voorjebuurt,https://www.voorjebuurt.nl/campaigns/arnhemmers-planten-een-bos/,2015-03-18
44,voorjebuurt,https://www.voorjebuurt.nl/campaigns/stichting-bevordering-huisdierenwelzijn/,2015-03-18
45,voorjebuurt,https://www.voorjebuurt.nl/campaigns/looborch/,2015-03-18
46,voorjebuurt,https://www.voorjebuurt.nl/campaigns/familiepad/,2015-03-18
47,voorjebuurt,https://www.voorjebuurt.nl/campaigns/quidemcarus/,2015-03-18
48,voorjebuurt,https://www.voorjebuurt.nl/campaigns/s4cadamwest/,2015-03-18
49,voorjebuurt,https://www.voorjebuurt.nl/campaigns/rockingupchristmas/,2015-03-18
50,voorjebuurt,https://www.voorjebuurt.nl/campaigns/hoofdkwartier/,2015-03-18
51,voorjebuurt,https://www.voorjebuurt.nl/campaigns/podiumervaring/,2015-03-18
52,voorjebuurt,https://www.voorjebuurt.nl/campaigns/lichtsignaal/,2015-03-18
53,voorjebuurt,https://www.voorjebuurt.nl/campaigns/s4c-utrecht-overvecht/,2015-03-18
54,voorjebuurt,https://www.voorjebuurt.nl/campaigns/burendiner/,2015-03-18
55,voorjebuurt,https://www.voorjebuurt.nl/campaigns/leesnlunch/,2015-03-18
56,voorjebuurt,https://www.voorjebuurt.nl/campaigns/aodopnuj/,2015-03-18
57,voorjebuurt,https://www.voorjebuurt.nl/campaigns/s4coost/,2015-03-18
58,voorjebuurt,https://www.voorjebuurt.nl/campaigns/runningdinner/,2015-03-18
59,voorjebuurt,https://www.voorjebuurt.nl/campaigns/essesteijn/,2015-03-18
60,voorjebuurt,https://www.voorjebuurt.nl/campaigns/stationsparkdeurne/,2015-03-18
61,voorjebuurt,https://www.voorjebuurt.nl/campaigns/gospelfestival/,2015-03-18
62,voorjebuurt,https://www.voorjebuurt.nl/campaigns/buitenbeest/,2015-03-18
63,voorjebuurt,https://www.voorjebuurt.nl/campaigns/merenwijk/,2015-03-18
64,voorjebuurt,https://www.voorjebuurt.nl/campaigns/kinderboerderijwassenaar/,2015-03-18
65,voorjebuurt,https://www.voorjebuurt.nl/campaigns/rusthout/,2015-03-18
66,voorjebuurt,https://www.voorjebuurt.nl/campaigns/kinderboerderijvoorschoten/,2015-03-18
67,voorjebuurt,https://www.voorjebuurt.nl/campaigns/kloosterhof/,2015-03-18
68,voorjebuurt,https://www.voorjebuurt.nl/campaigns/yard/,2015-03-18
69,voorjebuurt,https://www.voorjebuurt.nl/campaigns/dewoeligestal/,2015-03-18
70,voorjebuurt,https://www.voorjebuurt.nl/campaigns/schildershoeve/,2015-03-18
71,voorjebuurt,https://www.voorjebuurt.nl/campaigns/reigershof/,2015-03-18
72,voorjebuurt,https://www.voorjebuurt.nl/campaigns/herweijerhoeve/,2015-03-18
73,voorjebuurt,https://www.voorjebuurt.nl/campaigns/molenweide/,2015-03-18
74,voorjebuurt,https://www.voorjebuurt.nl/campaigns/waaygat/,2015-03-18
75,voorjebuurt,https://www.voorjebuurt.nl/campaigns/gagelhoeve/,2015-03-18
76,voorjebuurt,https://www.voorjebuurt.nl/campaigns/opdendijk/,2015-03-18
77,voorjebuurt,https://www.voorjebuurt.nl/campaigns/landzigt/,2015-03-18
78,voorjebuurt,https://www.voorjebuurt.nl/campaigns/balijhoeve/,2015-03-18
79,voorjebuurt,https://www.voorjebuurt.nl/campaigns/kakelhof/,2015-03-18
80,voorjebuurt,https://www.voorjebuurt.nl/campaigns/vogelhuisboom/,2015-03-18
81,voorjebuurt,https://www.voorjebuurt.nl/campaigns/speeltuin/,2015-03-18
82,voorjebuurt,https://www.voorjebuurt.nl/campaigns/buurtcampingoosterpark/,2015-03-18
83,voorjebuurt,https://www.voorjebuurt.nl/campaigns/muziekstudio/,2015-03-18
84,voorjebuurt,https://www.voorjebuurt.nl/campaigns/rembrandtparkfestival/,2015-03-18
